#    L    TT             EE             BB             TE          
   124   0.346280E+06   0.106014E+01   0.492538E-02   0.117692E+01
   125   0.348996E+06   0.106757E+01   0.500745E-02  -0.756414E+00
   126   0.348926E+06   0.107455E+01   0.509026E-02  -0.271985E+01
   127   0.346049E+06   0.108108E+01   0.517381E-02  -0.470346E+01
   128   0.340369E+06   0.108715E+01   0.525811E-02  -0.669747E+01
   129   0.331914E+06   0.109277E+01   0.534318E-02  -0.869202E+01
   130   0.320737E+06   0.109791E+01   0.542900E-02  -0.106772E+02
   131   0.306915E+06   0.110257E+01   0.551561E-02  -0.126439E+02
   132   0.290546E+06   0.110676E+01   0.560300E-02  -0.145857E+02
   133   0.271751E+06   0.111046E+01   0.569119E-02  -0.164969E+02
   134   0.250673E+06   0.111369E+01   0.578018E-02  -0.183718E+02
   135   0.227476E+06   0.111642E+01   0.586999E-02  -0.202047E+02
   136   0.202344E+06   0.111866E+01   0.596063E-02  -0.219899E+02
   137   0.175477E+06   0.112041E+01   0.605211E-02  -0.237217E+02
   138   0.147096E+06   0.112167E+01   0.614444E-02  -0.253944E+02
   139   0.117432E+06   0.112244E+01   0.623764E-02  -0.270025E+02
   140   0.867300E+05   0.112271E+01   0.633172E-02  -0.285402E+02
   141   0.552476E+05   0.112250E+01   0.642669E-02  -0.300020E+02
   142   0.232489E+05   0.112180E+01   0.652256E-02  -0.313822E+02
   143  -0.899514E+04   0.112061E+01   0.661935E-02  -0.326752E+02
   144  -0.412098E+05   0.111895E+01   0.671707E-02  -0.338753E+02
   145  -0.731187E+05   0.111679E+01   0.681573E-02  -0.349769E+02
   146  -0.104447E+06   0.111417E+01   0.691534E-02  -0.359746E+02
   147  -0.134921E+06   0.111109E+01   0.701592E-02  -0.368624E+02
   148  -0.164277E+06   0.110754E+01   0.711747E-02  -0.376349E+02
   149  -0.192255E+06   0.110354E+01   0.722001E-02  -0.382865E+02
   150  -0.218608E+06   0.109909E+01   0.732356E-02  -0.388114E+02
   151  -0.243100E+06   0.109421E+01   0.742811E-02  -0.392062E+02
   152  -0.265509E+06   0.108889E+01   0.753368E-02  -0.394754E+02
   153  -0.285632E+06   0.108315E+01   0.764028E-02  -0.396256E+02
   154  -0.303281E+06   0.107702E+01   0.774791E-02  -0.396635E+02
   155  -0.318290E+06   0.107048E+01   0.785659E-02  -0.395956E+02
   156  -0.330516E+06   0.106356E+01   0.796632E-02  -0.394285E+02
   157  -0.339838E+06   0.105627E+01   0.807710E-02  -0.391688E+02
   158  -0.346159E+06   0.104862E+01   0.818895E-02  -0.388231E+02
   159  -0.349410E+06   0.104063E+01   0.830186E-02  -0.383982E+02
   160  -0.349545E+06   0.103230E+01   0.841584E-02  -0.379005E+02
   161  -0.346547E+06   0.102367E+01   0.853089E-02  -0.373368E+02
   162  -0.340425E+06   0.101474E+01   0.864701E-02  -0.367138E+02
   163  -0.331216E+06   0.100554E+01   0.876421E-02  -0.360379E+02
   164  -0.318983E+06   0.996076E+00   0.888247E-02  -0.353159E+02
   165  -0.303817E+06   0.986366E+00   0.900181E-02  -0.345545E+02
   166  -0.285832E+06   0.976433E+00   0.912221E-02  -0.337604E+02
   167  -0.265171E+06   0.966300E+00   0.924368E-02  -0.329403E+02
   168  -0.241997E+06   0.955989E+00   0.936621E-02  -0.321010E+02
   169  -0.216498E+06   0.945522E+00   0.948980E-02  -0.312492E+02
   170  -0.188881E+06   0.934915E+00   0.961444E-02  -0.303918E+02
   171  -0.159376E+06   0.924197E+00   0.974012E-02  -0.295354E+02
   172  -0.128227E+06   0.913389E+00   0.986684E-02  -0.286870E+02
   173  -0.956937E+05   0.902516E+00   0.999458E-02  -0.278532E+02
   174  -0.620507E+05   0.891598E+00   0.101234E-01  -0.270408E+02
   175  -0.275823E+05   0.880674E+00   0.102531E-01  -0.262569E+02
   176   0.741825E+04   0.869757E+00   0.103839E-01  -0.255066E+02
   177   0.426516E+05   0.858885E+00   0.105157E-01  -0.247883E+02
   178   0.778146E+05   0.848081E+00   0.106485E-01  -0.240991E+02
   179   0.112604E+06   0.837366E+00   0.107822E-01  -0.234360E+02
   180   0.146717E+06   0.826778E+00   0.109169E-01  -0.227959E+02
   181   0.179857E+06   0.816347E+00   0.110526E-01  -0.221758E+02
   182   0.211734E+06   0.806102E+00   0.111891E-01  -0.215729E+02
   183   0.242067E+06   0.796066E+00   0.113267E-01  -0.209841E+02
   184   0.270588E+06   0.786275E+00   0.114651E-01  -0.204067E+02
   185   0.297042E+06   0.776768E+00   0.116045E-01  -0.198373E+02
   186   0.321194E+06   0.767566E+00   0.117447E-01  -0.192733E+02
   187   0.342824E+06   0.758699E+00   0.118859E-01  -0.187117E+02
   188   0.361735E+06   0.750208E+00   0.120279E-01  -0.181497E+02
   189   0.377753E+06   0.742124E+00   0.121708E-01  -0.175843E+02
   190   0.390728E+06   0.734481E+00   0.123146E-01  -0.170128E+02
   191   0.400535E+06   0.727310E+00   0.124592E-01  -0.164323E+02
   192   0.407076E+06   0.720647E+00   0.126046E-01  -0.158400E+02
   193   0.410281E+06   0.714525E+00   0.127509E-01  -0.152329E+02
   194   0.410110E+06   0.708980E+00   0.128981E-01  -0.146084E+02
   195   0.406550E+06   0.704047E+00   0.130460E-01  -0.139638E+02
   196   0.399618E+06   0.699761E+00   0.131948E-01  -0.132962E+02
   197   0.389361E+06   0.696160E+00   0.133443E-01  -0.126031E+02
   198   0.375853E+06   0.693278E+00   0.134947E-01  -0.118817E+02
   199   0.359198E+06   0.691153E+00   0.136459E-01  -0.111291E+02
   200   0.339527E+06   0.689818E+00   0.137978E-01  -0.103429E+02
   201   0.316998E+06   0.689312E+00   0.139506E-01  -0.952073E+01
   202   0.291795E+06   0.689670E+00   0.141041E-01  -0.866295E+01
   203   0.264123E+06   0.690929E+00   0.142584E-01  -0.777007E+01
   204   0.234212E+06   0.693125E+00   0.144134E-01  -0.684286E+01
   205   0.202312E+06   0.696295E+00   0.145693E-01  -0.588208E+01
   206   0.168689E+06   0.700475E+00   0.147259E-01  -0.488838E+01
   207   0.133626E+06   0.705701E+00   0.148833E-01  -0.386242E+01
   208   0.974210E+05   0.712011E+00   0.150414E-01  -0.280511E+01
   209   0.603800E+05   0.719439E+00   0.152003E-01  -0.171726E+01
   210   0.228192E+05   0.728023E+00   0.153599E-01  -0.599728E+00
   211  -0.149400E+05   0.737799E+00   0.155203E-01   0.546645E+00
   212  -0.525735E+05   0.748803E+00   0.156814E-01   0.172100E+01
   213  -0.897573E+05   0.761072E+00   0.158432E-01   0.292249E+01
   214  -0.126170E+06   0.774642E+00   0.160058E-01   0.415027E+01
   215  -0.161496E+06   0.789543E+00   0.161691E-01   0.540343E+01
   216  -0.195428E+06   0.805819E+00   0.163331E-01   0.668110E+01
   217  -0.227669E+06   0.823501E+00   0.164979E-01   0.798236E+01
