#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    68   0.217778E+05   0.712706E+02   0.615886E-03   0.712706E+02   0.301462E+00  -0.137964E-05   0.615886E-03  -0.137964E-05   0.127336E-06
    69   0.217848E+05   0.723807E+02   0.230212E-03   0.723807E+02   0.314182E+00  -0.184114E-05   0.230212E-03  -0.184114E-05   0.126301E-06
    70   0.219621E+05   0.735871E+02  -0.131016E-03   0.735871E+02   0.327133E+00  -0.225196E-05  -0.131016E-03  -0.225196E-05   0.125351E-06
    71   0.220084E+05   0.745104E+02  -0.389851E-03   0.745104E+02   0.340311E+00  -0.253887E-05  -0.389851E-03  -0.253887E-05   0.124500E-06
    72   0.218184E+05   0.749332E+02  -0.544626E-03   0.749332E+02   0.353711E+00  -0.270079E-05  -0.544626E-03  -0.270079E-05   0.123735E-06
    73   0.213364E+05   0.746788E+02  -0.612752E-03   0.746788E+02   0.367329E+00  -0.275466E-05  -0.612752E-03  -0.275466E-05   0.123038E-06
    74   0.205060E+05   0.735717E+02  -0.611635E-03   0.735717E+02   0.381152E+00  -0.271743E-05  -0.611635E-03  -0.271743E-05   0.122392E-06
    75   0.192712E+05   0.714364E+02  -0.558683E-03   0.714364E+02   0.395170E+00  -0.260603E-05  -0.558683E-03  -0.260603E-05   0.121778E-06
    76   0.176125E+05   0.681809E+02  -0.470398E-03   0.681809E+02   0.409368E+00  -0.243855E-05  -0.470398E-03  -0.243855E-05   0.121179E-06
    77   0.156570E+05   0.640462E+02  -0.359657E-03   0.640462E+02   0.423735E+00  -0.223768E-05  -0.359657E-03  -0.223768E-05   0.120584E-06
    78   0.135690E+05   0.593553E+02  -0.238428E-03   0.593553E+02   0.438259E+00  -0.202722E-05  -0.238428E-03  -0.202722E-05   0.119979E-06
    79   0.115125E+05   0.544311E+02  -0.118683E-03   0.544311E+02   0.452930E+00  -0.183100E-05  -0.118683E-03  -0.183100E-05   0.119354E-06
    80   0.965163E+04   0.495960E+02  -0.123898E-04   0.495960E+02   0.467734E+00  -0.167284E-05  -0.123898E-04  -0.167284E-05   0.118696E-06
    81   0.811507E+04   0.451171E+02   0.711941E-04   0.451171E+02   0.482662E+00  -0.157034E-05   0.711941E-04  -0.157034E-05   0.117998E-06
    82   0.688999E+04   0.410376E+02   0.133666E-03   0.410376E+02   0.497703E+00  -0.151627E-05   0.133666E-03  -0.151627E-05   0.117269E-06
    83   0.592813E+04   0.373444E+02   0.179335E-03   0.373444E+02   0.512846E+00  -0.149717E-05   0.179335E-03  -0.149717E-05   0.116523E-06
    84   0.518123E+04   0.340251E+02   0.212513E-03   0.340251E+02   0.528080E+00  -0.149958E-05   0.212513E-03  -0.149958E-05   0.115771E-06
    85   0.460103E+04   0.310667E+02   0.237509E-03   0.310667E+02   0.543393E+00  -0.151006E-05   0.237509E-03  -0.151006E-05   0.115029E-06
    86   0.414430E+04   0.284559E+02   0.257948E-03   0.284559E+02   0.558776E+00  -0.151765E-05   0.257948E-03  -0.151765E-05   0.114305E-06
    87   0.378781E+04   0.261767E+02   0.274714E-03   0.261767E+02   0.574216E+00  -0.152143E-05   0.274714E-03  -0.152143E-05   0.113596E-06
    88   0.351336E+04   0.242128E+02   0.288004E-03   0.242128E+02   0.589700E+00  -0.152298E-05   0.288004E-03  -0.152298E-05   0.112895E-06
    89   0.330277E+04   0.225475E+02   0.298018E-03   0.225475E+02   0.605215E+00  -0.152387E-05   0.298018E-03  -0.152387E-05   0.112196E-06
    90   0.313786E+04   0.211640E+02   0.304954E-03   0.211640E+02   0.620743E+00  -0.152569E-05   0.304954E-03  -0.152569E-05   0.111492E-06
    91   0.300316E+04   0.200449E+02   0.309013E-03   0.200449E+02   0.636272E+00  -0.152972E-05   0.309013E-03  -0.152972E-05   0.110777E-06
    92   0.289397E+04   0.191687E+02   0.310423E-03   0.191687E+02   0.651786E+00  -0.153603E-05   0.310423E-03  -0.153603E-05   0.110051E-06
    93   0.280832E+04   0.185131E+02   0.309410E-03   0.185131E+02   0.667271E+00  -0.154439E-05   0.309410E-03  -0.154439E-05   0.109315E-06
    94   0.274420E+04   0.180558E+02   0.306206E-03   0.180558E+02   0.682714E+00  -0.155460E-05   0.306206E-03  -0.155460E-05   0.108572E-06
    95   0.269963E+04   0.177745E+02   0.301040E-03   0.177745E+02   0.698100E+00  -0.156642E-05   0.301040E-03  -0.156642E-05   0.107822E-06
    96   0.267261E+04   0.176470E+02   0.294140E-03   0.176470E+02   0.713416E+00  -0.157964E-05   0.294140E-03  -0.157964E-05   0.107067E-06
    97   0.266115E+04   0.176510E+02   0.285738E-03   0.176510E+02   0.728645E+00  -0.159403E-05   0.285738E-03  -0.159403E-05   0.106309E-06
    98   0.266325E+04   0.177644E+02   0.276062E-03   0.177644E+02   0.743774E+00  -0.160937E-05   0.276062E-03  -0.160937E-05   0.105548E-06
    99   0.267691E+04   0.179649E+02   0.265341E-03   0.179649E+02   0.758788E+00  -0.162544E-05   0.265341E-03  -0.162544E-05   0.104786E-06
   100   0.270013E+04   0.182305E+02   0.253806E-03   0.182305E+02   0.773675E+00  -0.164202E-05   0.253806E-03  -0.164202E-05   0.104026E-06
   101   0.273093E+04   0.185388E+02   0.241686E-03   0.185388E+02   0.788421E+00  -0.165888E-05   0.241686E-03  -0.165888E-05   0.103267E-06
   102   0.276729E+04   0.188675E+02   0.229210E-03   0.188675E+02   0.803004E+00  -0.167581E-05   0.229210E-03  -0.167581E-05   0.102512E-06
   103   0.280723E+04   0.191948E+02   0.216607E-03   0.191948E+02   0.817423E+00  -0.169257E-05   0.216607E-03  -0.169257E-05   0.101762E-06
   104   0.284872E+04   0.194983E+02   0.204109E-03   0.194983E+02   0.831650E+00  -0.170895E-05   0.204109E-03  -0.170895E-05   0.101018E-06
   105   0.288979E+04   0.197559E+02   0.191943E-03   0.197559E+02   0.845677E+00  -0.172474E-05   0.191943E-03  -0.172474E-05   0.100283E-06
