#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1137   0.128105E+04  -0.432575E+02  -0.531850E-07  -0.432575E+02   0.124919E+02   0.162440E-06  -0.531850E-07   0.162440E-06   0.466834E-08
  1138   0.128036E+04  -0.422033E+02  -0.504839E-07  -0.422033E+02   0.124033E+02   0.157215E-06  -0.504839E-07   0.157215E-06   0.466019E-08
  1139   0.127958E+04  -0.411473E+02  -0.476097E-07  -0.411473E+02   0.123201E+02   0.151997E-06  -0.476097E-07   0.151997E-06   0.465205E-08
  1140   0.127869E+04  -0.400898E+02  -0.445645E-07  -0.400898E+02   0.122424E+02   0.146786E-06  -0.445645E-07   0.146786E-06   0.464393E-08
  1141   0.127771E+04  -0.390313E+02  -0.413504E-07  -0.390313E+02   0.121701E+02   0.141584E-06  -0.413504E-07   0.141584E-06   0.463583E-08
  1142   0.127664E+04  -0.379723E+02  -0.379694E-07  -0.379723E+02   0.121033E+02   0.136390E-06  -0.379694E-07   0.136390E-06   0.462774E-08
  1143   0.127547E+04  -0.369131E+02  -0.344237E-07  -0.369131E+02   0.120420E+02   0.131204E-06  -0.344237E-07   0.131204E-06   0.461968E-08
  1144   0.127420E+04  -0.358544E+02  -0.307154E-07  -0.358544E+02   0.119862E+02   0.126028E-06  -0.307154E-07   0.126028E-06   0.461162E-08
  1145   0.127284E+04  -0.347964E+02  -0.268466E-07  -0.347964E+02   0.119359E+02   0.120860E-06  -0.268466E-07   0.120860E-06   0.460359E-08
  1146   0.127139E+04  -0.337397E+02  -0.228193E-07  -0.337397E+02   0.118911E+02   0.115701E-06  -0.228193E-07   0.115701E-06   0.459557E-08
  1147   0.126984E+04  -0.326847E+02  -0.186357E-07  -0.326847E+02   0.118518E+02   0.110552E-06  -0.186357E-07   0.110552E-06   0.458756E-08
  1148   0.126820E+04  -0.316317E+02  -0.142979E-07  -0.316317E+02   0.118180E+02   0.105413E-06  -0.142979E-07   0.105413E-06   0.457957E-08
  1149   0.126645E+04  -0.305812E+02  -0.980785E-08  -0.305812E+02   0.117896E+02   0.100285E-06  -0.980785E-08   0.100285E-06   0.457160E-08
  1150   0.126462E+04  -0.295336E+02  -0.516780E-08  -0.295336E+02   0.117666E+02   0.951660E-07  -0.516780E-08   0.951660E-07   0.456364E-08
  1151   0.126269E+04  -0.284894E+02  -0.379119E-09  -0.284894E+02   0.117492E+02   0.900580E-07  -0.379119E-09   0.900580E-07   0.455570E-08
  1152   0.126067E+04  -0.274490E+02   0.455949E-08  -0.274490E+02   0.117371E+02   0.849610E-07   0.455949E-08   0.849610E-07   0.454777E-08
  1153   0.125856E+04  -0.264128E+02   0.965002E-08  -0.264128E+02   0.117305E+02   0.798750E-07   0.965002E-08   0.798750E-07   0.453986E-08
  1154   0.125635E+04  -0.253813E+02   0.148944E-07  -0.253813E+02   0.117293E+02   0.748005E-07   0.148944E-07   0.748005E-07   0.453196E-08
  1155   0.125405E+04  -0.243550E+02   0.202947E-07  -0.243550E+02   0.117334E+02   0.697375E-07   0.202947E-07   0.697375E-07   0.452408E-08
  1156   0.125166E+04  -0.233344E+02   0.258528E-07  -0.233344E+02   0.117429E+02   0.646865E-07   0.258528E-07   0.646865E-07   0.451621E-08
  1157   0.124919E+04  -0.223198E+02   0.315707E-07  -0.223198E+02   0.117577E+02   0.596476E-07   0.315707E-07   0.596476E-07   0.450836E-08
  1158   0.124663E+04  -0.213119E+02   0.374505E-07  -0.213119E+02   0.117778E+02   0.546210E-07   0.374505E-07   0.546210E-07   0.450052E-08
  1159   0.124398E+04  -0.203109E+02   0.434940E-07  -0.203109E+02   0.118031E+02   0.496070E-07   0.434940E-07   0.496070E-07   0.449270E-08
  1160   0.124125E+04  -0.193174E+02   0.497032E-07  -0.193174E+02   0.118337E+02   0.446059E-07   0.497032E-07   0.446059E-07   0.448489E-08
  1161   0.123843E+04  -0.183317E+02   0.560802E-07  -0.183317E+02   0.118695E+02   0.396179E-07   0.560802E-07   0.396179E-07   0.447710E-08
  1162   0.123553E+04  -0.173543E+02   0.626268E-07  -0.173543E+02   0.119105E+02   0.346433E-07   0.626268E-07   0.346433E-07   0.446933E-08
  1163   0.123254E+04  -0.163855E+02   0.693452E-07  -0.163855E+02   0.119565E+02   0.296823E-07   0.693452E-07   0.296823E-07   0.446157E-08
  1164   0.122948E+04  -0.154258E+02   0.762372E-07  -0.154258E+02   0.120077E+02   0.247351E-07   0.762372E-07   0.247351E-07   0.445383E-08
  1165   0.122634E+04  -0.144756E+02   0.833049E-07  -0.144756E+02   0.120639E+02   0.198021E-07   0.833049E-07   0.198021E-07   0.444610E-08
  1166   0.122311E+04  -0.135352E+02   0.905502E-07  -0.135352E+02   0.121251E+02   0.148833E-07   0.905502E-07   0.148833E-07   0.443838E-08
  1167   0.121981E+04  -0.126051E+02   0.979750E-07  -0.126051E+02   0.121912E+02   0.997920E-08   0.979750E-07   0.997920E-08   0.443069E-08
  1168   0.121642E+04  -0.116856E+02   0.105581E-06  -0.116856E+02   0.122622E+02   0.508991E-08   0.105581E-06   0.508991E-08   0.442300E-08
  1169   0.121297E+04  -0.107772E+02   0.113371E-06  -0.107772E+02   0.123381E+02   0.215711E-09   0.113371E-06   0.215711E-09   0.441534E-08
  1170   0.120944E+04  -0.988009E+01   0.121347E-06  -0.988009E+01   0.124187E+02  -0.464315E-08   0.121347E-06  -0.464315E-08   0.440769E-08
  1171   0.120584E+04  -0.899486E+01   0.129510E-06  -0.899486E+01   0.125041E+02  -0.948643E-08   0.129510E-06  -0.948643E-08   0.440005E-08
  1172   0.120216E+04  -0.812172E+01   0.137862E-06  -0.812172E+01   0.125943E+02  -0.143139E-07   0.137862E-06  -0.143139E-07   0.439243E-08
  1173   0.119842E+04  -0.726114E+01   0.146406E-06  -0.726114E+01   0.126890E+02  -0.191252E-07   0.146406E-06  -0.191252E-07   0.438483E-08
  1174   0.119461E+04  -0.641346E+01   0.155144E-06  -0.641346E+01   0.127883E+02  -0.239203E-07   0.155144E-06  -0.239203E-07   0.437724E-08
  1175   0.119072E+04  -0.557897E+01   0.164077E-06  -0.557897E+01   0.128921E+02  -0.286987E-07   0.164077E-06  -0.286987E-07   0.436966E-08
  1176   0.118678E+04  -0.475801E+01   0.173207E-06  -0.475801E+01   0.130004E+02  -0.334604E-07   0.173207E-06  -0.334604E-07   0.436211E-08
  1177   0.118277E+04  -0.395090E+01   0.182536E-06  -0.395090E+01   0.131130E+02  -0.382049E-07   0.182536E-06  -0.382049E-07   0.435457E-08
  1178   0.117869E+04  -0.315798E+01   0.192067E-06  -0.315798E+01   0.132300E+02  -0.429322E-07   0.192067E-06  -0.429322E-07   0.434704E-08
  1179   0.117455E+04  -0.237957E+01   0.201801E-06  -0.237957E+01   0.133512E+02  -0.476419E-07   0.201801E-06  -0.476419E-07   0.433953E-08
  1180   0.117035E+04  -0.161600E+01   0.211741E-06  -0.161600E+01   0.134766E+02  -0.523338E-07   0.211741E-06  -0.523338E-07   0.433204E-08
  1181   0.116609E+04  -0.867563E+00   0.221888E-06  -0.867563E+00   0.136061E+02  -0.570076E-07   0.221888E-06  -0.570076E-07   0.432456E-08
  1182   0.116178E+04  -0.134544E+00   0.232244E-06  -0.134544E+00   0.137396E+02  -0.616631E-07   0.232244E-06  -0.616631E-07   0.431710E-08
  1183   0.115741E+04   0.582749E+00   0.242811E-06   0.582749E+00   0.138771E+02  -0.663000E-07   0.242811E-06  -0.663000E-07   0.430965E-08
  1184   0.115298E+04   0.128403E+01   0.253591E-06   0.128403E+01   0.140186E+02  -0.709182E-07   0.253591E-06  -0.709182E-07   0.430222E-08
  1185   0.114850E+04   0.196901E+01   0.264587E-06   0.196901E+01   0.141637E+02  -0.755173E-07   0.264587E-06  -0.755173E-07   0.429480E-08
  1186   0.114396E+04   0.263740E+01   0.275800E-06   0.263740E+01   0.143127E+02  -0.800971E-07   0.275800E-06  -0.800971E-07   0.428740E-08
  1187   0.113938E+04   0.328890E+01   0.287232E-06   0.328890E+01   0.144653E+02  -0.846574E-07   0.287232E-06  -0.846574E-07   0.428002E-08
  1188   0.113475E+04   0.392331E+01   0.298885E-06   0.392331E+01   0.146214E+02  -0.891978E-07   0.298885E-06  -0.891978E-07   0.427265E-08
  1189   0.113007E+04   0.454038E+01   0.310761E-06   0.454038E+01   0.147810E+02  -0.937182E-07   0.310761E-06  -0.937182E-07   0.426530E-08
  1190   0.112534E+04   0.513990E+01   0.322862E-06   0.513990E+01   0.149441E+02  -0.982184E-07   0.322862E-06  -0.982184E-07   0.425797E-08
  1191   0.112057E+04   0.572165E+01   0.335190E-06   0.572165E+01   0.151104E+02  -0.102698E-06   0.335190E-06  -0.102698E-06   0.425065E-08
  1192   0.111576E+04   0.628542E+01   0.347748E-06   0.628542E+01   0.152800E+02  -0.107157E-06   0.347748E-06  -0.107157E-06   0.424335E-08
  1193   0.111091E+04   0.683098E+01   0.360536E-06   0.683098E+01   0.154528E+02  -0.111595E-06   0.360536E-06  -0.111595E-06   0.423606E-08
  1194   0.110602E+04   0.735812E+01   0.373557E-06   0.735812E+01   0.156285E+02  -0.116011E-06   0.373557E-06  -0.116011E-06   0.422879E-08
  1195   0.110110E+04   0.786666E+01   0.386814E-06   0.786666E+01   0.158072E+02  -0.120406E-06   0.386814E-06  -0.120406E-06   0.422153E-08
  1196   0.109613E+04   0.835644E+01   0.400307E-06   0.835644E+01   0.159889E+02  -0.124779E-06   0.400307E-06  -0.124779E-06   0.421429E-08
  1197   0.109114E+04   0.882728E+01   0.414039E-06   0.882728E+01   0.161733E+02  -0.129130E-06   0.414039E-06  -0.129130E-06   0.420707E-08
  1198   0.108612E+04   0.927902E+01   0.428012E-06   0.927902E+01   0.163603E+02  -0.133459E-06   0.428012E-06  -0.133459E-06   0.419987E-08
  1199   0.108106E+04   0.971142E+01   0.442228E-06   0.971142E+01   0.165501E+02  -0.137766E-06   0.442228E-06  -0.137766E-06   0.419268E-08
  1200   0.107598E+04   0.101245E+02   0.456689E-06   0.101245E+02   0.167422E+02  -0.142049E-06   0.456689E-06  -0.142049E-06   0.418550E-08
  1201   0.107087E+04   0.105178E+02   0.471392E-06   0.105178E+02   0.169368E+02  -0.146310E-06   0.471392E-06  -0.146310E-06   0.417835E-08
  1202   0.106574E+04   0.108916E+02   0.486321E-06   0.108916E+02   0.171338E+02  -0.150547E-06   0.486321E-06  -0.150547E-06   0.417120E-08
  1203   0.106058E+04   0.112455E+02   0.501454E-06   0.112455E+02   0.173328E+02  -0.154759E-06   0.501454E-06  -0.154759E-06   0.416408E-08
  1204   0.105540E+04   0.115797E+02   0.516769E-06   0.115797E+02   0.175341E+02  -0.158945E-06   0.516769E-06  -0.158945E-06   0.415697E-08
  1205   0.105021E+04   0.118939E+02   0.532244E-06   0.118939E+02   0.177374E+02  -0.163106E-06   0.532244E-06  -0.163106E-06   0.414988E-08
  1206   0.104499E+04   0.121883E+02   0.547859E-06   0.121883E+02   0.179426E+02  -0.167239E-06   0.547859E-06  -0.167239E-06   0.414280E-08
  1207   0.103976E+04   0.124626E+02   0.563591E-06   0.124626E+02   0.181496E+02  -0.171345E-06   0.563591E-06  -0.171345E-06   0.413574E-08
  1208   0.103452E+04   0.127169E+02   0.579420E-06   0.127169E+02   0.183584E+02  -0.175422E-06   0.579420E-06  -0.175422E-06   0.412869E-08
  1209   0.102927E+04   0.129511E+02   0.595323E-06   0.129511E+02   0.185687E+02  -0.179469E-06   0.595323E-06  -0.179469E-06   0.412166E-08
  1210   0.102401E+04   0.131652E+02   0.611279E-06   0.131652E+02   0.187806E+02  -0.183487E-06   0.611279E-06  -0.183487E-06   0.411465E-08
  1211   0.101873E+04   0.133593E+02   0.627267E-06   0.133593E+02   0.189940E+02  -0.187473E-06   0.627267E-06  -0.187473E-06   0.410765E-08
  1212   0.101346E+04   0.135334E+02   0.643265E-06   0.135334E+02   0.192086E+02  -0.191427E-06   0.643265E-06  -0.191427E-06   0.410067E-08
  1213   0.100817E+04   0.136873E+02   0.659251E-06   0.136873E+02   0.194246E+02  -0.195349E-06   0.659251E-06  -0.195349E-06   0.409370E-08
  1214   0.100289E+04   0.138211E+02   0.675204E-06   0.138211E+02   0.196417E+02  -0.199237E-06   0.675204E-06  -0.199237E-06   0.408675E-08
  1215   0.997614E+03   0.139350E+02   0.691102E-06   0.139350E+02   0.198598E+02  -0.203091E-06   0.691102E-06  -0.203091E-06   0.407981E-08
  1216   0.992329E+03   0.140287E+02   0.706924E-06   0.140287E+02   0.200788E+02  -0.206910E-06   0.706924E-06  -0.206910E-06   0.407289E-08
  1217   0.987052E+03   0.141025E+02   0.722649E-06   0.141025E+02   0.202987E+02  -0.210693E-06   0.722649E-06  -0.210693E-06   0.406599E-08
  1218   0.981781E+03   0.141563E+02   0.738255E-06   0.141563E+02   0.205193E+02  -0.214440E-06   0.738255E-06  -0.214440E-06   0.405910E-08
  1219   0.976518E+03   0.141901E+02   0.753719E-06   0.141901E+02   0.207405E+02  -0.218149E-06   0.753719E-06  -0.218149E-06   0.405222E-08
  1220   0.971254E+03   0.142041E+02   0.769022E-06   0.142041E+02   0.209622E+02  -0.221819E-06   0.769022E-06  -0.221819E-06   0.404536E-08
  1221   0.966013E+03   0.141981E+02   0.784140E-06   0.141981E+02   0.211843E+02  -0.225451E-06   0.784140E-06  -0.225451E-06   0.403852E-08
  1222   0.960773E+03   0.141723E+02   0.799054E-06   0.141723E+02   0.214068E+02  -0.229042E-06   0.799054E-06  -0.229042E-06   0.403169E-08
  1223   0.955554E+03   0.141269E+02   0.813740E-06   0.141269E+02   0.216294E+02  -0.232593E-06   0.813740E-06  -0.232593E-06   0.402487E-08
  1224   0.950344E+03   0.140618E+02   0.828179E-06   0.140618E+02   0.218522E+02  -0.236103E-06   0.828179E-06  -0.236103E-06   0.401807E-08
  1225   0.945156E+03   0.139773E+02   0.842347E-06   0.139773E+02   0.220750E+02  -0.239570E-06   0.842347E-06  -0.239570E-06   0.401128E-08
  1226   0.939984E+03   0.138735E+02   0.856224E-06   0.138735E+02   0.222977E+02  -0.242994E-06   0.856224E-06  -0.242994E-06   0.400451E-08
  1227   0.934835E+03   0.137505E+02   0.869787E-06   0.137505E+02   0.225201E+02  -0.246374E-06   0.869787E-06  -0.246374E-06   0.399776E-08
  1228   0.929709E+03   0.136085E+02   0.883017E-06   0.136085E+02   0.227424E+02  -0.249710E-06   0.883017E-06  -0.249710E-06   0.399102E-08
  1229   0.924614E+03   0.134476E+02   0.895890E-06   0.134476E+02   0.229642E+02  -0.253000E-06   0.895890E-06  -0.253000E-06   0.398429E-08
  1230   0.919542E+03   0.132679E+02   0.908386E-06   0.132679E+02   0.231857E+02  -0.256243E-06   0.908386E-06  -0.256243E-06   0.397758E-08
  1231   0.914493E+03   0.130696E+02   0.920483E-06   0.130696E+02   0.234065E+02  -0.259440E-06   0.920483E-06  -0.259440E-06   0.397088E-08
  1232   0.909476E+03   0.128529E+02   0.932159E-06   0.128529E+02   0.236268E+02  -0.262588E-06   0.932159E-06  -0.262588E-06   0.396420E-08
  1233   0.904497E+03   0.126177E+02   0.943392E-06   0.126177E+02   0.238461E+02  -0.265688E-06   0.943392E-06  -0.265688E-06   0.395753E-08
  1234   0.899542E+03   0.123645E+02   0.954163E-06   0.123645E+02   0.240647E+02  -0.268738E-06   0.954163E-06  -0.268738E-06   0.395087E-08
  1235   0.894625E+03   0.120931E+02   0.964448E-06   0.120931E+02   0.242822E+02  -0.271738E-06   0.964448E-06  -0.271738E-06   0.394423E-08
  1236   0.889740E+03   0.118039E+02   0.974226E-06   0.118039E+02   0.244988E+02  -0.274687E-06   0.974226E-06  -0.274687E-06   0.393760E-08
  1237   0.884894E+03   0.114970E+02   0.983476E-06   0.114970E+02   0.247140E+02  -0.277584E-06   0.983476E-06  -0.277584E-06   0.393099E-08
  1238   0.880088E+03   0.111727E+02   0.992176E-06   0.111727E+02   0.249281E+02  -0.280428E-06   0.992176E-06  -0.280428E-06   0.392439E-08
  1239   0.875320E+03   0.108310E+02   0.100031E-05   0.108310E+02   0.251408E+02  -0.283219E-06   0.100031E-05  -0.283219E-06   0.391781E-08
  1240   0.870592E+03   0.104723E+02   0.100784E-05   0.104723E+02   0.253520E+02  -0.285955E-06   0.100784E-05  -0.285955E-06   0.391124E-08
  1241   0.865910E+03   0.100967E+02   0.101476E-05   0.100967E+02   0.255617E+02  -0.288636E-06   0.101476E-05  -0.288636E-06   0.390468E-08
  1242   0.861276E+03   0.970456E+01   0.102105E-05   0.970456E+01   0.257697E+02  -0.291261E-06   0.102105E-05  -0.291261E-06   0.389814E-08
  1243   0.856681E+03   0.929598E+01   0.102668E-05   0.929598E+01   0.259760E+02  -0.293830E-06   0.102668E-05  -0.293830E-06   0.389161E-08
  1244   0.852134E+03   0.887113E+01   0.103163E-05   0.887113E+01   0.261805E+02  -0.296340E-06   0.103163E-05  -0.296340E-06   0.388509E-08
  1245   0.847633E+03   0.843039E+01   0.103587E-05   0.843039E+01   0.263830E+02  -0.298793E-06   0.103587E-05  -0.298793E-06   0.387859E-08
  1246   0.843188E+03   0.797394E+01   0.103940E-05   0.797394E+01   0.265836E+02  -0.301186E-06   0.103940E-05  -0.301186E-06   0.387210E-08
  1247   0.838790E+03   0.750202E+01   0.104218E-05   0.750202E+01   0.267820E+02  -0.303519E-06   0.104218E-05  -0.303519E-06   0.386562E-08
  1248   0.834448E+03   0.701487E+01   0.104420E-05   0.701487E+01   0.269783E+02  -0.305792E-06   0.104420E-05  -0.305792E-06   0.385916E-08
  1249   0.830153E+03   0.651272E+01   0.104543E-05   0.651272E+01   0.271722E+02  -0.308003E-06   0.104543E-05  -0.308003E-06   0.385271E-08
  1250   0.825921E+03   0.599585E+01   0.104586E-05   0.599585E+01   0.273637E+02  -0.310151E-06   0.104586E-05  -0.310151E-06   0.384628E-08
  1251   0.821737E+03   0.546454E+01   0.104546E-05   0.546454E+01   0.275528E+02  -0.312237E-06   0.104546E-05  -0.312237E-06   0.383986E-08
  1252   0.817608E+03   0.491910E+01   0.104427E-05   0.491910E+01   0.277394E+02  -0.314260E-06   0.104427E-05  -0.314260E-06   0.383345E-08
  1253   0.813542E+03   0.435982E+01   0.104231E-05   0.435982E+01   0.279233E+02  -0.316221E-06   0.104231E-05  -0.316221E-06   0.382705E-08
  1254   0.809531E+03   0.378698E+01   0.103962E-05   0.378698E+01   0.281046E+02  -0.318121E-06   0.103962E-05  -0.318121E-06   0.382067E-08
  1255   0.805583E+03   0.320090E+01   0.103623E-05   0.320090E+01   0.282832E+02  -0.319961E-06   0.103623E-05  -0.319961E-06   0.381430E-08
  1256   0.801697E+03   0.260185E+01   0.103218E-05   0.260185E+01   0.284590E+02  -0.321742E-06   0.103218E-05  -0.321742E-06   0.380794E-08
  1257   0.797874E+03   0.199013E+01   0.102749E-05   0.199013E+01   0.286319E+02  -0.323463E-06   0.102749E-05  -0.323463E-06   0.380160E-08
  1258   0.794113E+03   0.136603E+01   0.102221E-05   0.136603E+01   0.288019E+02  -0.325127E-06   0.102221E-05  -0.325127E-06   0.379527E-08
  1259   0.790407E+03   0.729852E+00   0.101636E-05   0.729852E+00   0.289689E+02  -0.326733E-06   0.101636E-05  -0.326733E-06   0.378895E-08
  1260   0.786779E+03   0.818826E-01   0.100998E-05   0.818826E-01   0.291328E+02  -0.328282E-06   0.100998E-05  -0.328282E-06   0.378265E-08
  1261   0.783205E+03  -0.577589E+00   0.100309E-05  -0.577589E+00   0.292936E+02  -0.329776E-06   0.100309E-05  -0.329776E-06   0.377636E-08
  1262   0.779700E+03  -0.124827E+01   0.995740E-06  -0.124827E+01   0.294511E+02  -0.331214E-06   0.995740E-06  -0.331214E-06   0.377008E-08
  1263   0.776265E+03  -0.192986E+01   0.987954E-06  -0.192986E+01   0.296053E+02  -0.332598E-06   0.987954E-06  -0.332598E-06   0.376382E-08
  1264   0.772892E+03  -0.262207E+01   0.979765E-06  -0.262207E+01   0.297563E+02  -0.333928E-06   0.979765E-06  -0.333928E-06   0.375757E-08
  1265   0.769589E+03  -0.332457E+01   0.971207E-06  -0.332457E+01   0.299038E+02  -0.335205E-06   0.971207E-06  -0.335205E-06   0.375133E-08
  1266   0.766347E+03  -0.403701E+01   0.962314E-06  -0.403701E+01   0.300478E+02  -0.336430E-06   0.962314E-06  -0.336430E-06   0.374510E-08
  1267   0.763182E+03  -0.475909E+01   0.953117E-06  -0.475909E+01   0.301882E+02  -0.337604E-06   0.953117E-06  -0.337604E-06   0.373889E-08
  1268   0.760086E+03  -0.549045E+01   0.943650E-06  -0.549045E+01   0.303252E+02  -0.338726E-06   0.943650E-06  -0.338726E-06   0.373269E-08
  1269   0.757060E+03  -0.623076E+01   0.933946E-06  -0.623076E+01   0.304585E+02  -0.339798E-06   0.933946E-06  -0.339798E-06   0.372650E-08
  1270   0.754102E+03  -0.697972E+01   0.924038E-06  -0.697972E+01   0.305881E+02  -0.340821E-06   0.924038E-06  -0.340821E-06   0.372033E-08
  1271   0.751213E+03  -0.773691E+01   0.913958E-06  -0.773691E+01   0.307140E+02  -0.341795E-06   0.913958E-06  -0.341795E-06   0.371417E-08
  1272   0.748401E+03  -0.850213E+01   0.903739E-06  -0.850213E+01   0.308360E+02  -0.342722E-06   0.903739E-06  -0.342722E-06   0.370802E-08
  1273   0.745657E+03  -0.927487E+01   0.893415E-06  -0.927487E+01   0.309542E+02  -0.343601E-06   0.893415E-06  -0.343601E-06   0.370189E-08
  1274   0.742982E+03  -0.100549E+02   0.883018E-06  -0.100549E+02   0.310686E+02  -0.344434E-06   0.883018E-06  -0.344434E-06   0.369576E-08
  1275   0.740381E+03  -0.108419E+02   0.872581E-06  -0.108419E+02   0.311791E+02  -0.345221E-06   0.872581E-06  -0.345221E-06   0.368965E-08
  1276   0.737854E+03  -0.116354E+02   0.862137E-06  -0.116354E+02   0.312855E+02  -0.345962E-06   0.862137E-06  -0.345962E-06   0.368356E-08
  1277   0.735400E+03  -0.124352E+02   0.851720E-06  -0.124352E+02   0.313881E+02  -0.346660E-06   0.851720E-06  -0.346660E-06   0.367747E-08
  1278   0.733019E+03  -0.132408E+02   0.841361E-06  -0.132408E+02   0.314865E+02  -0.347314E-06   0.841361E-06  -0.347314E-06   0.367140E-08
  1279   0.730711E+03  -0.140520E+02   0.831094E-06  -0.140520E+02   0.315808E+02  -0.347925E-06   0.831094E-06  -0.347925E-06   0.366535E-08
  1280   0.728476E+03  -0.148684E+02   0.820951E-06  -0.148684E+02   0.316711E+02  -0.348494E-06   0.820951E-06  -0.348494E-06   0.365930E-08
  1281   0.726315E+03  -0.156897E+02   0.810967E-06  -0.156897E+02   0.317571E+02  -0.349022E-06   0.810967E-06  -0.349022E-06   0.365327E-08
  1282   0.724228E+03  -0.165155E+02   0.801173E-06  -0.165155E+02   0.318389E+02  -0.349509E-06   0.801173E-06  -0.349509E-06   0.364725E-08
  1283   0.722213E+03  -0.173455E+02   0.791602E-06  -0.173455E+02   0.319164E+02  -0.349956E-06   0.791602E-06  -0.349956E-06   0.364124E-08
  1284   0.720272E+03  -0.181792E+02   0.782288E-06  -0.181792E+02   0.319896E+02  -0.350364E-06   0.782288E-06  -0.350364E-06   0.363525E-08
  1285   0.718405E+03  -0.190163E+02   0.773263E-06  -0.190163E+02   0.320585E+02  -0.350733E-06   0.773263E-06  -0.350733E-06   0.362927E-08
  1286   0.716612E+03  -0.198566E+02   0.764560E-06  -0.198566E+02   0.321230E+02  -0.351065E-06   0.764560E-06  -0.351065E-06   0.362330E-08
  1287   0.714892E+03  -0.206997E+02   0.756212E-06  -0.206997E+02   0.321832E+02  -0.351359E-06   0.756212E-06  -0.351359E-06   0.361734E-08
  1288   0.713245E+03  -0.215451E+02   0.748253E-06  -0.215451E+02   0.322389E+02  -0.351618E-06   0.748253E-06  -0.351618E-06   0.361140E-08
  1289   0.711671E+03  -0.223925E+02   0.740714E-06  -0.223925E+02   0.322902E+02  -0.351841E-06   0.740714E-06  -0.351841E-06   0.360547E-08
  1290   0.710171E+03  -0.232415E+02   0.733629E-06  -0.232415E+02   0.323372E+02  -0.352028E-06   0.733629E-06  -0.352028E-06   0.359955E-08
  1291   0.708744E+03  -0.240919E+02   0.727031E-06  -0.240919E+02   0.323797E+02  -0.352182E-06   0.727031E-06  -0.352182E-06   0.359364E-08
  1292   0.707391E+03  -0.249432E+02   0.720952E-06  -0.249432E+02   0.324178E+02  -0.352303E-06   0.720952E-06  -0.352303E-06   0.358775E-08
  1293   0.706109E+03  -0.257950E+02   0.715426E-06  -0.257950E+02   0.324516E+02  -0.352390E-06   0.715426E-06  -0.352390E-06   0.358187E-08
  1294   0.704901E+03  -0.266471E+02   0.710486E-06  -0.266471E+02   0.324808E+02  -0.352446E-06   0.710486E-06  -0.352446E-06   0.357600E-08
  1295   0.703765E+03  -0.274991E+02   0.706164E-06  -0.274991E+02   0.325055E+02  -0.352471E-06   0.706164E-06  -0.352471E-06   0.357015E-08
  1296   0.702701E+03  -0.283507E+02   0.702493E-06  -0.283507E+02   0.325258E+02  -0.352465E-06   0.702493E-06  -0.352465E-06   0.356431E-08
  1297   0.701707E+03  -0.292014E+02   0.699506E-06  -0.292014E+02   0.325415E+02  -0.352429E-06   0.699506E-06  -0.352429E-06   0.355848E-08
  1298   0.700786E+03  -0.300510E+02   0.697237E-06  -0.300510E+02   0.325528E+02  -0.352364E-06   0.697237E-06  -0.352364E-06   0.355266E-08
  1299   0.699934E+03  -0.308991E+02   0.695718E-06  -0.308991E+02   0.325595E+02  -0.352271E-06   0.695718E-06  -0.352271E-06   0.354686E-08
  1300   0.699153E+03  -0.317454E+02   0.694981E-06  -0.317454E+02   0.325617E+02  -0.352151E-06   0.694981E-06  -0.352151E-06   0.354106E-08
  1301   0.698441E+03  -0.325897E+02   0.695049E-06  -0.325897E+02   0.325594E+02  -0.352003E-06   0.695049E-06  -0.352003E-06   0.353528E-08
  1302   0.697799E+03  -0.334313E+02   0.695899E-06  -0.334313E+02   0.325526E+02  -0.351828E-06   0.695899E-06  -0.351828E-06   0.352952E-08
  1303   0.697225E+03  -0.342701E+02   0.697495E-06  -0.342701E+02   0.325413E+02  -0.351626E-06   0.697495E-06  -0.351626E-06   0.352376E-08
  1304   0.696719E+03  -0.351056E+02   0.699802E-06  -0.351056E+02   0.325255E+02  -0.351396E-06   0.699802E-06  -0.351396E-06   0.351802E-08
  1305   0.696283E+03  -0.359376E+02   0.702787E-06  -0.359376E+02   0.325052E+02  -0.351138E-06   0.702787E-06  -0.351138E-06   0.351229E-08
  1306   0.695913E+03  -0.367656E+02   0.706414E-06  -0.367656E+02   0.324806E+02  -0.350852E-06   0.706414E-06  -0.350852E-06   0.350657E-08
  1307   0.695610E+03  -0.375893E+02   0.710649E-06  -0.375893E+02   0.324514E+02  -0.350537E-06   0.710649E-06  -0.350537E-06   0.350086E-08
  1308   0.695374E+03  -0.384083E+02   0.715457E-06  -0.384083E+02   0.324179E+02  -0.350193E-06   0.715457E-06  -0.350193E-06   0.349517E-08
  1309   0.695204E+03  -0.392223E+02   0.720803E-06  -0.392223E+02   0.323800E+02  -0.349820E-06   0.720803E-06  -0.349820E-06   0.348948E-08
  1310   0.695099E+03  -0.400309E+02   0.726653E-06  -0.400309E+02   0.323376E+02  -0.349418E-06   0.726653E-06  -0.349418E-06   0.348381E-08
  1311   0.695058E+03  -0.408338E+02   0.732972E-06  -0.408338E+02   0.322909E+02  -0.348985E-06   0.732972E-06  -0.348985E-06   0.347815E-08
  1312   0.695082E+03  -0.416306E+02   0.739726E-06  -0.416306E+02   0.322397E+02  -0.348523E-06   0.739726E-06  -0.348523E-06   0.347251E-08
