#    L    TT             EE             BB             TE             PP             TP             EP          
    98   0.266325E+04   0.743774E+00   0.000000E+00   0.177644E+02   0.105547E-06   0.275938E-03  -0.160952E-05
    99   0.267691E+04   0.758788E+00   0.000000E+00   0.179649E+02   0.104786E-06   0.265210E-03  -0.162560E-05
   100   0.270013E+04   0.773675E+00   0.000000E+00   0.182305E+02   0.104025E-06   0.253671E-03  -0.164217E-05
   101   0.273093E+04   0.788421E+00   0.000000E+00   0.185388E+02   0.103266E-06   0.241550E-03  -0.165903E-05
   102   0.276729E+04   0.803004E+00   0.000000E+00   0.188675E+02   0.102511E-06   0.229078E-03  -0.167595E-05
   103   0.280723E+04   0.817423E+00   0.000000E+00   0.191948E+02   0.101761E-06   0.216483E-03  -0.169270E-05
   104   0.284872E+04   0.831650E+00   0.000000E+00   0.194983E+02   0.101018E-06   0.203995E-03  -0.170907E-05
   105   0.288979E+04   0.845677E+00   0.000000E+00   0.197559E+02   0.100282E-06   0.191844E-03  -0.172483E-05
   106   0.292842E+04   0.859490E+00   0.000000E+00   0.199456E+02   0.995558E-07   0.180258E-03  -0.173977E-05
   107   0.296261E+04   0.873082E+00   0.000000E+00   0.200452E+02   0.988402E-07   0.169466E-03  -0.175366E-05
   108   0.299036E+04   0.886429E+00   0.000000E+00   0.200326E+02   0.981368E-07   0.159696E-03  -0.176628E-05
   109   0.300966E+04   0.899525E+00   0.000000E+00   0.198857E+02   0.974471E-07   0.151179E-03  -0.177741E-05
   110   0.301853E+04   0.912349E+00   0.000000E+00   0.195823E+02   0.967724E-07   0.144142E-03  -0.178682E-05
   111   0.301548E+04   0.924892E+00   0.000000E+00   0.191056E+02   0.961139E-07   0.138757E-03  -0.179435E-05
   112   0.300124E+04   0.937147E+00   0.000000E+00   0.184603E+02   0.954711E-07   0.134970E-03  -0.179994E-05
   113   0.297705E+04   0.949092E+00   0.000000E+00   0.176561E+02   0.948432E-07   0.132668E-03  -0.180362E-05
   114   0.294414E+04   0.960712E+00   0.000000E+00   0.167031E+02   0.942296E-07   0.131740E-03  -0.180539E-05
   115   0.290376E+04   0.972006E+00   0.000000E+00   0.156111E+02   0.936294E-07   0.132075E-03  -0.180524E-05
   116   0.285715E+04   0.982959E+00   0.000000E+00   0.143899E+02   0.930419E-07   0.133562E-03  -0.180320E-05
   117   0.280557E+04   0.993549E+00   0.000000E+00   0.130495E+02   0.924663E-07   0.136088E-03  -0.179926E-05
   118   0.275025E+04   0.100378E+01   0.000000E+00   0.115999E+02   0.919018E-07   0.139543E-03  -0.179343E-05
   119   0.269242E+04   0.101362E+01   0.000000E+00   0.100508E+02   0.913476E-07   0.143816E-03  -0.178571E-05
   120   0.263335E+04   0.102309E+01   0.000000E+00   0.841214E+01   0.908031E-07   0.148796E-03  -0.177612E-05
   121   0.257427E+04   0.103215E+01   0.000000E+00   0.669388E+01   0.902674E-07   0.154371E-03  -0.176466E-05
   122   0.251641E+04   0.104080E+01   0.000000E+00   0.490580E+01   0.897399E-07   0.160430E-03  -0.175133E-05
   123   0.246102E+04   0.104903E+01   0.000000E+00   0.305784E+01   0.892196E-07   0.166863E-03  -0.173614E-05
   124   0.240935E+04   0.105684E+01   0.000000E+00   0.115992E+01   0.887059E-07   0.173558E-03  -0.171910E-05
   125   0.236263E+04   0.106421E+01   0.000000E+00  -0.778149E+00   0.881980E-07   0.180405E-03  -0.170020E-05
   126   0.232211E+04   0.107114E+01   0.000000E+00  -0.274652E+01   0.876952E-07   0.187292E-03  -0.167947E-05
   127   0.228903E+04   0.107762E+01   0.000000E+00  -0.473526E+01   0.871967E-07   0.194110E-03  -0.165690E-05
   128   0.226462E+04   0.108363E+01   0.000000E+00  -0.673457E+01   0.867017E-07   0.200746E-03  -0.163250E-05
   129   0.225014E+04   0.108919E+01   0.000000E+00  -0.873460E+01   0.862094E-07   0.207092E-03  -0.160627E-05
   130   0.224682E+04   0.109426E+01   0.000000E+00  -0.107254E+02   0.857192E-07   0.213035E-03  -0.157822E-05
   131   0.225552E+04   0.109886E+01   0.000000E+00  -0.126979E+02   0.852304E-07   0.218485E-03  -0.154840E-05
   132   0.227562E+04   0.110299E+01   0.000000E+00  -0.146456E+02   0.847431E-07   0.223437E-03  -0.151700E-05
   133   0.230609E+04   0.110662E+01   0.000000E+00  -0.165629E+02   0.842574E-07   0.227903E-03  -0.148424E-05
   134   0.234592E+04   0.110977E+01   0.000000E+00  -0.184439E+02   0.837736E-07   0.231896E-03  -0.145037E-05
   135   0.239409E+04   0.111242E+01   0.000000E+00  -0.202832E+02   0.832918E-07   0.235431E-03  -0.141561E-05
   136   0.244960E+04   0.111459E+01   0.000000E+00  -0.220747E+02   0.828122E-07   0.238522E-03  -0.138019E-05
   137   0.251142E+04   0.111625E+01   0.000000E+00  -0.238129E+02   0.823351E-07   0.241180E-03  -0.134434E-05
   138   0.257853E+04   0.111742E+01   0.000000E+00  -0.254921E+02   0.818605E-07   0.243421E-03  -0.130830E-05
   139   0.264992E+04   0.111810E+01   0.000000E+00  -0.271067E+02   0.813887E-07   0.245257E-03  -0.127230E-05
   140   0.272460E+04   0.111827E+01   0.000000E+00  -0.286510E+02   0.809199E-07   0.246702E-03  -0.123657E-05
